coreData_id,coreData_speed,coreData_accelset_long,coreData_accelset_lat,t,x,y,perReportID,corrupted,peerReported
8777778,535,-43,-28,0,-82.4456075,27.9566898,8777778,0,0
8777778,533,-32,-19,0.0999999999999091,-82.4456077,27.9566802,8777778,0,0
8777778,538,-26,-70,0.200000000000045,-82.4456075,27.9566696,8777778,0,0
8777778,535,-31,-11,0.549999999999955,-82.4456075,27.9566356,8777778,0,0
8777778,534,-18,-95,0.650000000000091,-82.4456075,27.9566259,8777778,0,0
8777778,537,-6,-54,0.749000000000024,-82.4456078,27.9566159,8777778,0,0
8777778,533,-31,5,0.950000000000045,-82.4456079,27.9565966,8777778,0,0
8777778,532,-11,16,1.04999999999995,-82.4456079,27.956587,8777778,0,0
8777778,525,-38,-27,1.24900000000002,-82.4456083,27.9565684,8777778,0,0
8777778,524,-10,45,1.34999999999991,-82.4456083,27.956559,8777778,0,0
8777778,523,-6,18,1.45000000000005,-82.4456083,27.9565495,8777778,0,0
8777778,522,-44,25,1.74900000000002,-82.4456092,27.9565204,8777778,0,0
8777778,520,-4,-7,2.04999999999995,-82.4456096,27.9564923,8777778,0,0
8777778,529,-36,-11,2.20000000000005,-82.4456102,27.9564765,8777778,0,0
8777778,529,-11,-16,2.24900000000002,-82.4456103,27.9564717,8777778,0,0
8777778,528,7,-14,2.45000000000005,-82.4456107,27.9564527,8777778,0,0
8777778,527,-24,-28,2.54999999999995,-82.4456109,27.9564431,8777778,0,0
8777778,521,-24,2,2.74900000000002,-82.4456111,27.9564247,8777778,0,0
8777778,520,-4,-39,2.90000000000009,-82.4456114,27.9564106,8777778,0,0
8777778,520,-11,6,3,-82.4456116,27.9564012,8777778,0,0
8777778,516,-29,-20,3.24900000000002,-82.445612,27.9563778,8777778,0,0
8777778,513,-40,-6,3.40000000000009,-82.4456122,27.9563639,8777778,0,0
8777778,511,-42,-20,3.5,-82.4456124,27.9563546,8777778,0,0
8777778,512,-23,2,3.74900000000002,-82.4456125,27.9563311,8777778,0,0
8777778,510,-40,7,3.90000000000009,-82.4456127,27.9563172,8777778,0,0
8777778,508,-40,-12,4,-82.4456128,27.9563081,8777778,0,0
8777778,503,-70,-15,4.15000000000009,-82.445613,27.9562944,8777778,0,0
8777778,498,-52,15,4.24900000000002,-82.4456132,27.9562859,8777778,0,0
8777778,491,-56,-2,4.5,-82.4456134,27.9562636,8777778,0,0
8777778,487,-76,12,4.59999999999991,-82.4456135,27.9562548,8777778,0,0
8777778,481,-91,9,4.69900000000007,-82.4456139,27.9562465,8777778,0,0
8777778,468,-111,4,5,-82.4456141,27.9562208,8777778,0,0
8777778,456,-95,-43,5.24900000000002,-82.4456147,27.9562002,8777778,0,0
8777778,451,-113,-24,5.34999999999991,-82.4456148,27.956192,8777778,0,0
8777778,443,-159,33,5.5,-82.4456149,27.9561799,8777778,0,0
8777778,423,-145,6,5.69900000000007,-82.4456154,27.9561653,8777778,0,0
8777778,420,-145,6,5.74900000000002,-82.4456154,27.9561615,8777778,0,0
8777778,402,-169,0,6,-82.4456156,27.9561429,8777778,0,0
8777778,394,-190,5,6.09999999999991,-82.4456156,27.9561358,8777778,0,0
8777778,377,-183,-11,6.20000000000005,-82.4456162,27.9561299,8777778,0,0
8777778,348,-216,-13,6.5,-82.4456165,27.9561104,8777778,0,0
8777778,338,-220,0,6.59999999999991,-82.4456166,27.9561042,8777778,0,0
8777778,292,-222,-24,7,-82.4456178,27.9560821,8777778,0,0
8777778,287,-218,13,7.04999999999995,-82.4456179,27.9560795,8777778,0,0
8777778,268,-212,-37,7.20000000000005,-82.4456182,27.9560723,8777778,0,0
8777778,241,-238,-26,7.40000000000009,-82.4456184,27.9560632,8777778,0,0
8777778,230,-214,17,7.5,-82.4456185,27.956059,8777778,0,0
8777778,207,-229,28,7.69900000000007,-82.4456185,27.956051,8777778,0,0
8777778,202,-231,12,7.74900000000002,-82.4456185,27.9560492,8777778,0,0
8777778,184,-226,-9,7.90000000000009,-82.4456186,27.9560441,8777778,0,0
8777778,149,-236,34,8.20000000000005,-82.4456191,27.9560347,8777778,0,0
8777778,115,-228,19,8.5,-82.4456192,27.9560277,8777778,0,0
8777778,103,-219,27,8.59999999999991,-82.4456192,27.9560258,8777778,0,0
8777778,96,-205,18,8.69900000000007,-82.4456195,27.9560233,8777778,0,0
8777778,74,-210,15,8.90000000000009,-82.4456196,27.9560203,8777778,0,0
8777778,64,-180,4,9,-82.4456196,27.9560191,8777778,0,0
8777778,38,-147,16,9.29999999999995,-82.4456201,27.9560163,8777778,0,0
8777778,31,-123,11,9.40000000000009,-82.4456201,27.9560157,8777778,0,0
8777778,36,-14,-24,9.69900000000007,-82.4456206,27.9560121,8777778,0,0
